date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:26:57	497265/497265	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20May%202022%2013:30:10%20GMT	https://tripindia.herokuapp.com/touristdestination/static/assets/img/Cities/Lachen2.jpg	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/touristdestination/static/assets/img/Cities/Lachen2.jpg	(from https://tripindia.herokuapp.com/touristdestination/explore/Lachen)
17:27:06	605851/605851	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20May%202022%2013:30:10%20GMT	https://tripindia.herokuapp.com/touristdestination/static/assets/img/Cities/Lachung.jpg	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/touristdestination/static/assets/img/Cities/Lachung.jpg	(from https://tripindia.herokuapp.com/touristdestination/explore/Lachung)
17:27:06	778597/778597	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20May%202022%2013:30:10%20GMT	https://tripindia.herokuapp.com/touristdestination/static/assets/img/Cities/Lachung2.jpg	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/touristdestination/static/assets/img/Cities/Lachung2.jpg	(from https://tripindia.herokuapp.com/touristdestination/explore/Lachung)
17:27:07	60926/60926	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20May%202022%2013:30:10%20GMT	https://tripindia.herokuapp.com/touristdestination/static/assets/img/Cities/Kalimpong2.jpg	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/touristdestination/static/assets/img/Cities/Kalimpong2.jpg	(from https://tripindia.herokuapp.com/touristdestination/explore/Kalimpong)
17:27:08	3744602/3744602	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20May%202022%2013:30:10%20GMT	https://tripindia.herokuapp.com/touristdestination/static/assets/img/Cities/Namchi.jpg	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/touristdestination/static/assets/img/Cities/Namchi.jpg	(from https://tripindia.herokuapp.com/touristdestination/explore/Namchi)
17:27:08	498730/498730	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20May%202022%2013:30:10%20GMT	https://tripindia.herokuapp.com/touristdestination/static/assets/img/Cities/Dehradun.jpg	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/touristdestination/static/assets/img/Cities/Dehradun.jpg	(from https://tripindia.herokuapp.com/touristdestination/explore/Dehradun)
17:27:09	409456/409456	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20May%202022%2013:30:10%20GMT	https://tripindia.herokuapp.com/touristdestination/static/assets/img/Cities/Dehradun2.jpg	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/touristdestination/static/assets/img/Cities/Dehradun2.jpg	(from https://tripindia.herokuapp.com/touristdestination/explore/Dehradun)
17:27:09	3656509/3656509	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20May%202022%2013:30:10%20GMT	https://tripindia.herokuapp.com/touristdestination/static/assets/img/Cities/Kalimpong.jpg	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/touristdestination/static/assets/img/Cities/Kalimpong.jpg	(from https://tripindia.herokuapp.com/touristdestination/explore/Kalimpong)
17:27:09	19140/19140	---M--	200	added ('OK')	text/html	date:Wed,%2007%20Sep%202022%2011:57:09%20GMT	https://tripindia.herokuapp.com/touristdestination/explore/Dehradun/Rishikesh	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/touristdestination/explore/Dehradun/Rishikesh.html	(from https://tripindia.herokuapp.com/touristdestination/explore/Dehradun)
17:27:10	138628/138628	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20May%202022%2013:30:11%20GMT	https://tripindia.herokuapp.com/touristdestination/static/assets/img/uploads/Rishikesh0.jpg	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/touristdestination/static/assets/img/uploads/Rishikesh0.jpg	(from https://tripindia.herokuapp.com/touristdestination/explore/Dehradun)
17:27:30	3652798/3652798	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20May%202022%2013:30:10%20GMT	https://tripindia.herokuapp.com/touristdestination/static/assets/img/Cities/Mandawa.jpg	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/touristdestination/static/assets/img/Cities/Mandawa.jpg	(from https://tripindia.herokuapp.com/touristdestination/explore/Mandawa)
17:27:31	2425341/2425341	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20May%202022%2013:30:10%20GMT	https://tripindia.herokuapp.com/touristdestination/static/assets/img/Cities/Mandawa2.jpg	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/touristdestination/static/assets/img/Cities/Mandawa2.jpg	(from https://tripindia.herokuapp.com/touristdestination/explore/Mandawa)
17:27:39	8267551/8267551	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20May%202022%2013:30:11%20GMT	https://tripindia.herokuapp.com/touristdestination/static/assets/img/Cities/Tawang2.jpg	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/touristdestination/static/assets/img/Cities/Tawang2.jpg	(from https://tripindia.herokuapp.com/touristdestination/explore/Tawang)
